+----+-----------------------------------------+--------------------+--------------------+--------------------+
|    |                 method                  |    percentage-1    |    percentage-2    |    percentage-3    |
+----+-----------------------------------------+--------------------+--------------------+--------------------+
| 0  |             eth_blockNumber             | 0.9465696465696466 | 0.8972291149710504 | 0.8950860460294423 |
| 1  |             eth_estimateGas             | 0.9441732116323498 | 0.9020305631149257 | 0.893825615352524  |
| 2  |             eth_feeHistory              | 0.946031746031746  | 0.9001867607387425 | 0.8934042553191489 |
| 3  |              eth_gasPrice               | 0.946031746031746  | 0.8983516483516484 | 0.8836325237592397 |
| 4  |             eth_getBalance              | 0.9541922290388548 | 0.8961611076148521 | 0.8866396761133604 |
| 5  |           eth_getBlockByHash            | 0.9543284201785344 | 0.9030008453085376 | 0.8946042410245644 |
| 6  |          eth_getBlockByNumber           | 0.9482283046891576 | 0.8977272727272727 | 0.8919257250156478 |
| 7  |   eth_getBlockTransactionCountByHash    | 0.9474012474012474 | 0.894468085106383  | 0.8869379014989294 |
| 8  |  eth_getBlockTransactionCountByNumber   | 0.9507647182065787 | 0.8921832884097035 |  0.89253300330033  |
| 9  |               eth_getCode               | 0.9487124920195786 | 0.8949359109056525 | 0.891553480475382  |
| 10 |               eth_getLogs               | 0.9537486800422387 | 0.8993778159193306 | 0.8950591216216216 |
| 11 |            eth_getStorageAt             | 0.945997458703939  | 0.9007903494176372 | 0.8851920312179092 |
| 12 |  eth_getTransactionByBlockHashAndIndex  | 0.9489451476793249 | 0.8980408679165789 | 0.8938464791710721 |
| 13 | eth_getTransactionByBlockNumberAndIndex | 0.9457118715673849 | 0.8963300850093303 | 0.8926399664499896 |
| 14 |        eth_getTransactionByHash         | 0.9457512184784912 | 0.9031716026044948 | 0.8902620924781589 |
| 15 |         eth_getTransactionCount         | 0.9435432904992627 | 0.901667749620966  | 0.8916807432432432 |
| 16 |        eth_getTransactionReceipt        | 0.9415517596213212 |  0.89848138131891  | 0.883602205431897  |
| 17 |     eth_getUncleByBlockHashAndIndex     | 0.9488817891373802 | 0.9017267107226604 | 0.8847280334728034 |
| 18 |    eth_getUncleByBlockNumberAndIndex    | 0.947751873438801  | 0.8932572394842528 | 0.8835178875638842 |
| 19 |      eth_getUncleCountByBlockHash       | 0.9433403805496828 | 0.9002752487825535 | 0.8902748414376321 |
| 20 |     eth_getUncleCountByBlockNumber      | 0.9485749690210656 | 0.8924886504333471 | 0.8918080264791063 |
+----+-----------------------------------------+--------------------+--------------------+--------------------+
